role,skills
Data Scientist,Python;SQL;Machine Learning;Data Analysis;Statistics
DevOps Engineer,AWS;Docker;Kubernetes;CI/CD;Linux
Backend Developer,Java;Python;SQL;APIs;Git
Frontend Developer,JavaScript;CSS;HTML;React;UI/UX
Cloud Architect,AWS;Cloud Computing;Networking;Security;Automation
Machine Learning Engineer,Python;Machine Learning;TensorFlow;Data Structures;Statistics
Mobile Developer,Kotlin;Swift;Android;iOS;Mobile UI
Cybersecurity Analyst,Networking;Security;Linux;Penetration Testing;Risk Assessment
QA Automation Engineer,Testing;Automation;Selenium;Git;CI/CD
Systems Administrator,Linux;Networking;Automation;Git;Docker
